
                  X               _temp_1     

                0.               615.256E-06  
                1.30008E-06     -498.84       
                2.60014E-06      229.572      
                3.90022E-06      257.337      
                5.2003E-06      -403.169      
                6.50038E-06     -170.444      
                7.80046E-06      182.048      
                9.10054E-06     -227.506      
               10.4006E-06      -320.865      
               11.7007E-06        82.2159     
               13.0008E-06       -85.6679     
               14.3009E-06      -295.916      
               15.6009E-06       -22.1103     
               16.901E-06        -17.2689     
               18.2006E-06      -281.123      
               19.5003E-06       -91.9903     
               20.8001E-06        19.2877     
               22.101E-06       -271.684      
               23.4008E-06      -200.058      
               24.7005E-06        50.2464     
               26.0003E-06      -180.092      
               27.3E-06         -310.334      
               28.6009E-06       -18.1774     
               29.9007E-06       -62.0685     
               31.2004E-06      -329.075      
               32.5002E-06      -165.154      
               33.8011E-06        -5.31005    
               35.1009E-06      -254.352      
               36.4006E-06      -292.604      
               37.7004E-06       -59.4588     
               39.0001E-06      -157.888      
               40.301E-06       -318.431      
               41.6008E-06      -165.195      
               42.9005E-06      -118.367      
               44.2003E-06      -273.777      
               45.5E-06         -233.379      
               46.801E-06       -140.407      
               48.1007E-06      -242.496      
               49.4005E-06      -256.572      
               50.7002E-06      -160.224      
               52.0011E-06      -219.525      
               53.3005E-06      -272.311      
               54.6008E-06      -182.057      
               55.9009E-06      -189.425      
               57.2009E-06      -267.527      
               58.5007E-06      -207.094      
               59.8007E-06      -161.423      
               61.1002E-06      -258.546      
               62.4002E-06      -254.142      
               63.7005E-06      -155.481      
               65.0005E-06      -221.409      
               66.3008E-06      -277.166      
               67.6001E-06      -182.423      
               68.9001E-06      -179.868      
               70.2001E-06      -268.311      
               71.5007E-06      -221.675      
               72.8003E-06      -178.166      
               74.1005E-06      -224.811      
               75.4003E-06      -258.813      
               76.7007E-06      -193.391      
               78.0003E-06      -212.448      
               79.3006E-06      -230.293      
               80.6002E-06      -204.471      
               81.9004E-06      -193.251      
               83.2001E-06      -197.76       
               84.5005E-06      -174.954      
               85.8008E-06      -208.061      
               87.1E-06         -240.211      
               88.4004E-06      -236.675      
               89.7005E-06      -172.657      
               91.0009E-06      -222.881      
               92.3001E-06      -235.741      
               93.6004E-06      -211.067      
               94.9008E-06      -215.188      
               96.2011E-06      -256.316      
               97.5003E-06      -220.6        
               98.8007E-06      -222.929      
              100.101E-06       -193.034      
              101.4E-06         -246.032      
              102.701E-06       -195.186      
              104.001E-06       -232.393      
              105.3E-06         -250.872      
              106.6E-06         -230.416      
              107.901E-06       -142.198      
              109.2E-06         -265.191      
              110.501E-06       -197.911      
              111.801E-06       -209.035      
              113.1E-06         -227.476      
              114.401E-06       -250.591      
              115.701E-06       -186.278      
              117.E-06          -268.682      
              118.3E-06         -241.971      
              119.601E-06       -256.732      
              120.901E-06       -219.349      
              122.2E-06         -255.473      
              123.5E-06         -213.832      
              124.801E-06       -250.439      
              126.1E-06         -249.762      
              127.4E-06         -251.03       
              128.701E-06       -243.968      
              130.001E-06       -266.341      
              131.3E-06         -243.501      
              132.601E-06       -133.827      
              133.901E-06       -239.479      
              135.2E-06         -255.563      
              136.5E-06         -260.413      
              137.801E-06       -252.228      
              139.1E-06         -266.017      
              140.4E-06         -264.229      
              141.701E-06       -258.63       
              143.001E-06       -265.737      
              144.301E-06       -233.297      
              145.6E-06         -262.091      
              146.901E-06       -261.908      
              148.201E-06       -244.279      
              149.5E-06         -252.858      
              150.801E-06       -271.124      
              152.101E-06       -265.054      
              153.4E-06         -259.722      
              154.701E-06       -279.642      
              156.E-06          -231.564      
              157.3E-06         -271.292      
              158.601E-06       -267.631      
              159.901E-06       -282.089      
              161.2E-06         -267.743      
              162.501E-06       -272.22       
              163.801E-06       -176.812      
              165.101E-06       -223.259      
              166.401E-06       -261.889      
              167.7E-06         -277.664      
              169.001E-06       -272.479      
              170.301E-06       -285.332      
              171.6E-06         -282.853      
              172.9E-06         -274.587      
              174.201E-06       -271.002      
              175.5E-06         -191.504      
              176.8E-06         -283.801      
              178.101E-06       -279.107      
              179.4E-06         -266.796      
              180.7E-06         -277.893      
              182.001E-06       -292.964      
              183.301E-06       -293.164      
              184.601E-06       -240.698      
              185.9E-06         -204.984      
              187.201E-06       -291.066      
              188.501E-06       -261.652      
              189.8E-06         -289.404      
              191.101E-06       -295.665      
              192.401E-06       -232.493      
              193.7E-06         -232.298      
              195.001E-06       -287.413      
              196.301E-06       -270.566      
              197.6E-06         -297.189      
              198.9E-06         -297.529      
              200.201E-06       -275.459      
              201.5E-06         -170.624      
              202.801E-06       -155.546      
              204.1E-06         -260.123      
              205.4E-06         -268.293      
              206.701E-06       -242.885      
              208.001E-06       -247.036      
              209.3E-06         -165.475      
              210.601E-06       -114.907      
              211.9E-06         -216.412      
              213.201E-06       -237.01       
              214.501E-06       -174.158      
              215.801E-06       -211.644      
              217.101E-06       -220.605      
              218.401E-06       -215.517      
              219.701E-06       -193.317      
              221.E-06          -205.26       
              222.301E-06       -207.126      
              223.601E-06       -240.608      
              224.9E-06         -237.716      
              226.201E-06       -240.48       
              227.501E-06       -230.62       
              228.801E-06       -234.12       
              230.1E-06         -260.433      
              231.401E-06       -255.922      
              232.701E-06       -246.803      
              234.E-06          -254.         
              235.301E-06       -239.294      
              236.6E-06         -231.927      
              237.901E-06       -250.759      
              239.201E-06       -243.475      
              240.5E-06         -239.059      
              241.8E-06         -233.385      
              243.101E-06       -244.11       
              244.4E-06         -248.414      
              245.7E-06         -248.636      
              247.E-06          -243.45       
              248.301E-06       -229.256      
              249.601E-06       -260.953      
              250.9E-06         -232.511      
              252.201E-06       -213.136      
              253.501E-06       -228.891      
              254.8E-06         -233.08       
              256.1E-06         -185.705      
              257.401E-06       -238.802      
              258.7E-06         -238.701      
              260.001E-06       -203.447      
              261.3E-06         -233.215      
              262.6E-06         -219.188      
              263.901E-06       -229.065      
              265.201E-06       -180.18       
              266.5E-06         -236.789      
              267.801E-06       -241.333      
              269.101E-06       -223.708      
              270.401E-06       -224.562      
              271.7E-06         -151.105      
              273.001E-06       -243.481      
              274.301E-06       -197.294      
              275.6E-06         -214.809      
              276.9E-06         -231.187      
              278.201E-06       -248.118      
              279.501E-06       -219.18       
              280.8E-06         -218.978      
              282.101E-06       -239.049      
              283.401E-06       -235.871      
              284.701E-06       -231.096      
              286.E-06          -182.707      
