
                  X               _temp_4     

                0.                 0.         
                1.30114E-06      -25.3852     
                2.60056E-06      -73.3535     
                3.90174E-06       50.2276     
                5.20116E-06       47.3637     
                6.50054E-06     -218.341      
                7.80173E-06     -178.408      
                9.10132E-06       77.902      
               10.4009E-06       -82.9983     
               11.7005E-06      -335.105      
               13.0001E-06       -73.551      
               14.3014E-06       107.145      
               15.601E-06       -208.382      
               16.9006E-06      -251.412      
               18.2002E-06        67.0451     
               19.5015E-06        15.9665     
               20.8011E-06      -237.207      
               22.1007E-06      -108.463      
               23.4003E-06        61.8285     
               24.7016E-06       -90.5279     
               26.0012E-06      -164.725      
               27.3008E-06       -37.8724     
               28.6003E-06       -17.5596     
               29.9017E-06       -85.2084     
               31.2017E-06       -80.5355     
               32.5002E-06       -64.5351     
               33.8012E-06       -58.643      
               35.1004E-06       -38.3055     
               36.4013E-06       -86.132      
               37.7005E-06      -123.287      
               39.0014E-06       -42.676      
               40.3006E-06       -27.3968     
               41.6016E-06      -145.095      
               42.9008E-06      -130.9        
               44.2017E-06       -13.9765     
               45.5009E-06       -79.2654     
               46.8001E-06      -192.659      
               48.101E-06       -109.586      
               49.4002E-06       -45.1987     
               50.7012E-06      -159.912      
               52.0004E-06      -197.166      
               53.3013E-06       -96.7379     
               54.6005E-06      -101.441      
               55.9015E-06      -186.814      
               57.2006E-06      -162.69       
               58.5016E-06      -102.971      
               59.8008E-06      -127.06       
               61.1017E-06      -158.111      
               62.4009E-06      -137.855      
               63.7001E-06      -126.788      
               65.0011E-06      -132.552      
               66.3002E-06      -139.773      
               67.6E-06          -86.2197     
               68.9009E-06       -62.4596     
               70.2001E-06       -78.1738     
               71.5011E-06      -120.02       
               72.8003E-06      -156.171      
               74.1012E-06      -122.777      
               75.4004E-06      -115.163      
               76.7014E-06      -169.124      
               78.0006E-06      -172.727      
               79.3015E-06      -125.232      
               80.6007E-06      -144.656      
               81.9016E-06      -189.55       
               83.2006E-06      -147.114      
               84.5004E-06      -129.688      
               85.801E-06       -163.4        
               87.1006E-06      -182.592      
               88.4E-06         -166.845      
               89.7001E-06      -160.734      
               91.0004E-06      -198.318      
               92.3003E-06      -204.256      
               93.6015E-06      -107.699      
               94.9005E-06      -106.598      
               96.2016E-06      -153.27       
               97.5014E-06      -160.022      
               98.8001E-06      -149.236      
              100.101E-06       -168.745      
              101.401E-06        -96.5729     
              102.702E-06       -104.404      
              104.001E-06       -132.768      
              105.301E-06        -66.0781     
              106.601E-06        -92.4261     
              107.902E-06       -121.581      
              109.201E-06       -120.763      
              110.502E-06       -129.027      
              111.8E-06         -130.853      
              113.101E-06       -132.907      
              114.4E-06         -114.927      
              115.701E-06       -121.204      
              117.E-06          -150.394      
              118.301E-06       -169.36       
              119.6E-06          -89.9011     
              120.901E-06       -113.492      
              122.201E-06       -134.166      
              123.501E-06       -151.229      
              124.8E-06         -122.58       
              126.101E-06       -140.497      
              127.401E-06       -153.398      
              128.7E-06         -159.9        
              130.001E-06        -79.7015     
              131.301E-06       -128.476      
              132.601E-06       -149.889      
              133.902E-06       -157.82       
              135.201E-06       -162.521      
              136.5E-06         -164.501      
              137.801E-06       -171.12       
              139.1E-06         -180.882      
              140.401E-06       -169.39       
              141.7E-06         -181.361      
              143.001E-06       -127.376      
              144.3E-06         -131.475      
              145.601E-06       -150.919      
              146.901E-06       -165.874      
              148.202E-06       -174.679      
              149.501E-06       -173.419      
              150.802E-06       -117.802      
              152.101E-06       -109.2        
              153.4E-06         -136.604      
              154.701E-06       -140.784      
              156.E-06          -123.379      
              157.301E-06       -134.115      
              158.602E-06       -144.085      
              159.901E-06       -154.03       
              161.2E-06         -132.639      
              162.501E-06       -143.091      
              163.8E-06         -155.737      
              165.101E-06       -126.475      
              166.4E-06         -102.867      
              167.701E-06       -115.886      
              169.001E-06       -133.463      
              170.3E-06         -143.392      
              171.601E-06       -150.125      
              172.9E-06         -125.271      
              174.201E-06       -126.561      
              175.5E-06         -141.811      
              176.801E-06       -162.959      
              178.1E-06         -132.096      
              179.4E-06          -97.5988     
              180.701E-06       -120.36       
              182.E-06          -143.458      
              183.3E-06         -149.835      
              184.601E-06       -158.55       
              185.901E-06       -104.953      
              187.201E-06       -103.132      
              188.5E-06         -132.711      
              189.801E-06       -132.352      
              191.1E-06         -145.887      
              192.401E-06       -152.013      
