
                  X               _temp_3     

                0.              -505.149E-06  
                1.30114E-06     -480.13       
                2.60056E-06      254.431      
                3.90174E-06      276.753      
                5.20116E-06     -394.66       
                6.50054E-06     -195.481      
                7.80173E-06      228.696      
                9.10132E-06     -203.803      
               10.4009E-06      -331.363      
               11.7005E-06       104.86       
               13.0001E-06       -48.8698     
               14.3014E-06      -329.782      
               15.601E-06        -46.2492     
               16.9006E-06        -4.30408    
               18.2002E-06      -324.896      
               19.5015E-06      -178.906      
               20.8011E-06         5.80598    
               22.1007E-06      -298.012      
               23.4003E-06      -327.714      
               24.7016E-06       -35.9145     
               26.0012E-06      -203.519      
               27.3008E-06      -423.566      
               28.6003E-06      -152.869      
               29.9017E-06       -95.6437     
               31.2017E-06      -395.055      
               32.5002E-06      -310.434      
               33.8012E-06       -81.5084     
               35.1004E-06      -272.924      
               36.4013E-06      -395.276      
               37.7005E-06      -164.583      
               39.0014E-06      -166.419      
               40.3006E-06      -351.873      
               41.6016E-06      -247.25       
               42.9008E-06      -133.306      
               44.2017E-06      -268.542      
               45.5009E-06      -277.939      
               46.8001E-06      -149.83       
               48.101E-06       -217.776      
               49.4002E-06      -285.293      
               50.7012E-06      -179.134      
               52.0004E-06      -186.092      
               53.3013E-06      -289.563      
               54.6005E-06      -218.32       
               55.9015E-06      -164.355      
               57.2006E-06      -275.512      
               58.5016E-06      -277.993      
               59.8008E-06      -166.164      
               61.1017E-06      -238.012      
               62.4009E-06      -317.027      
               63.7001E-06      -229.713      
               65.0011E-06      -216.066      
               66.3002E-06      -322.218      
               67.6E-06         -250.933      
               68.9009E-06      -172.375      
               70.2001E-06      -267.766      
               71.5011E-06      -310.755      
               72.8003E-06      -259.12       
               74.1012E-06      -259.577      
               75.4004E-06      -324.249      
               76.7014E-06      -293.427      
               78.0006E-06      -265.988      
               79.3015E-06      -309.836      
               80.6007E-06      -308.419      
               81.9016E-06      -271.391      
               83.2006E-06      -279.253      
               84.5004E-06      -306.135      
               85.801E-06       -262.469      
               87.1006E-06      -257.707      
               88.4E-06         -309.294      
               89.7001E-06      -274.927      
               91.0004E-06      -263.043      
               92.3003E-06      -296.897      
               93.6015E-06      -235.713      
               94.9005E-06      -207.351      
               96.2016E-06      -268.226      
               97.5014E-06      -292.538      
               98.8001E-06      -254.769      
              100.101E-06       -255.828      
              101.401E-06       -241.009      
              102.702E-06       -241.516      
              104.001E-06       -258.242      
              105.301E-06       -219.687      
              106.601E-06       -260.889      
              107.902E-06       -269.808      
              109.201E-06       -268.004      
              110.502E-06       -295.997      
              111.8E-06         -271.923      
              113.101E-06       -283.316      
              114.4E-06         -292.35       
              115.701E-06       -304.643      
              117.E-06          -308.287      
              118.301E-06       -313.998      
              119.6E-06         -261.224      
              120.901E-06       -267.367      
              122.201E-06       -297.924      
              123.501E-06       -318.312      
              124.8E-06         -280.497      
              126.101E-06       -285.054      
              127.401E-06       -313.206      
              128.7E-06         -303.118      
              130.001E-06       -193.001      
              131.301E-06       -297.1        
              132.601E-06       -298.922      
              133.902E-06       -298.441      
              135.201E-06       -296.808      
              136.5E-06         -309.435      
              137.801E-06       -305.63       
              139.1E-06         -301.517      
              140.401E-06       -315.721      
              141.7E-06         -317.126      
              143.001E-06       -253.903      
              144.3E-06         -292.831      
              145.601E-06       -308.977      
              146.901E-06       -321.734      
              148.202E-06       -322.378      
              149.501E-06       -319.21       
              150.802E-06       -251.114      
              152.101E-06       -290.218      
              153.4E-06         -309.473      
              154.701E-06       -311.115      
              156.E-06          -279.238      
              157.301E-06       -320.644      
              158.602E-06       -306.991      
              159.901E-06       -310.868      
              161.2E-06         -297.521      
              162.501E-06       -313.735      
              163.8E-06         -312.117      
              165.101E-06       -285.052      
              166.4E-06         -276.675      
              167.701E-06       -274.731      
              169.001E-06       -306.609      
