
                  X               _temp_2     

                0.                 0.         
                1.30055E-06      -32.9404     
                2.60114E-06     -110.515      
                3.90053E-06       12.7314     
                5.20114E-06       48.1033     
                6.50053E-06     -206.224      
                7.80107E-06     -143.7        
                9.10119E-06      186.171      
               10.4001E-06        21.707      
               11.7002E-06      -234.509      
               13.0003E-06        63.2019     
               14.3004E-06       235.473      
               15.6008E-06      -122.599      
               16.9007E-06      -163.964      
               18.2006E-06       149.648      
               19.5005E-06        65.3799     
               20.8004E-06      -190.212      
               22.1002E-06       -71.6424     
               23.4001E-06        59.0967     
               24.7E-06          -64.4337     
               26.0011E-06      -109.171      
               27.301E-06        -38.5082     
               28.6009E-06       -36.8923     
               29.9007E-06       -39.9888     
               31.2006E-06       -54.7904     
               32.5005E-06      -124.12       
               33.8004E-06       -87.5747     
               35.1003E-06       -15.7642     
               36.4002E-06      -129.115      
               37.7E-06         -204.035      
               39.0011E-06       -57.5973     
               40.301E-06        -39.9866     
               41.6009E-06      -206.706      
               42.9008E-06      -166.833      
               44.2007E-06       -15.1086     
               45.5005E-06      -100.116      
               46.8004E-06      -207.909      
               48.1003E-06      -105.733      
               49.4002E-06       -56.6463     
               50.7001E-06      -163.958      
               52.0012E-06      -184.267      
               53.3011E-06      -119.733      
               54.6009E-06      -134.425      
               55.9008E-06      -175.09       
               57.2007E-06      -170.917      
               58.5006E-06      -164.394      
               59.8005E-06      -153.144      
               61.1002E-06      -145.71       
               62.401E-06       -177.135      
               63.7006E-06      -174.84       
               65.0002E-06      -120.297      
               66.301E-06       -142.712      
               67.6006E-06      -202.652      
               68.9002E-06      -159.412      
               70.201E-06       -117.069      
               71.5006E-06      -185.631      
               72.8002E-06      -206.674      
               74.1007E-06      -137.909      
               75.4003E-06      -142.345      
               76.7003E-06      -201.895      
               78.0005E-06      -159.802      
               79.3001E-06      -121.718      
               80.6009E-06      -160.599      
               81.9005E-06      -188.194      
               83.2001E-06      -169.177      
               84.5009E-06      -168.096      
               85.8005E-06      -185.674      
               87.1001E-06      -194.372      
               88.401E-06       -197.687      
               89.7003E-06      -194.112      
               91.0008E-06       -87.8873     
               92.3004E-06      -119.35       
               93.6012E-06      -144.887      
               94.9008E-06      -133.234      
               96.2011E-06      -148.336      
               97.5002E-06      -184.28       
               98.8006E-06      -181.421      
              100.101E-06       -162.026      
              101.4E-06         -188.653      
              102.701E-06       -214.034      
              104.E-06          -203.785      
              105.301E-06       -194.266      
              106.601E-06       -214.661      
              107.9E-06         -224.275      
              109.201E-06       -205.206      
              110.501E-06       -208.315      
              111.8E-06         -126.338      
              113.1E-06         -124.573      
              114.401E-06       -182.521      
              115.7E-06         -168.742      
              117.001E-06       -201.1        
              118.301E-06       -207.21       
              119.6E-06         -209.423      
              120.901E-06       -215.299      
              122.2E-06         -220.078      
              123.5E-06          -25.8871     
              124.801E-06          1.07601    
              126.1E-06            7.33911    
              127.4E-06          -37.2713     
              128.701E-06       -107.327      
              130.E-06          -119.633      
              131.3E-06         -159.972      
              132.601E-06       -186.493      
              133.9E-06         -179.931      
              135.2E-06         -166.851      
              136.501E-06       -192.262      
              137.801E-06       -210.106      
              139.1E-06         -208.908      
              140.401E-06       -220.999      
              141.701E-06       -229.725      
              143.E-06          -237.499      
              144.301E-06       -220.67       
              145.601E-06       -224.461      
              146.9E-06         -236.431      
              148.201E-06         -9.46208    
              149.501E-06       -160.977      
              150.8E-06         -177.459      
              152.101E-06       -187.02       
              153.401E-06       -198.525      
              154.7E-06         -208.642      
              156.001E-06       -220.351      
              157.301E-06       -236.539      
              158.601E-06        -81.2236     
              159.901E-06        -74.9208     
              161.201E-06       -123.354      
              162.5E-06         -125.154      
              163.801E-06       -152.29       
              165.101E-06       -146.816      
              166.4E-06         -161.246      
              167.701E-06       -168.259      
              169.001E-06       -175.104      
              170.3E-06         -170.411      
              171.601E-06       -181.343      
              172.901E-06       -184.804      
              174.2E-06         -195.16       
              175.501E-06       -200.029      
              176.8E-06         -205.356      
              178.101E-06       -216.293      
              179.4E-06         -220.992      
              180.7E-06         -226.4        
              182.001E-06       -235.628      
              183.301E-06       -240.392      
              184.6E-06         -255.498      
              185.901E-06       -256.4        
              187.201E-06       -262.285      
              188.5E-06         -274.117      
              189.801E-06       -277.097      
              191.101E-06       -283.432      
              192.4E-06         -295.949      
              193.701E-06       -299.115      
